prediction_id,model_prediction,true_outcome,feedback_timestamp,reviewer,correct
PRED_0000,1,1,2025-11-29 18:18:28.589481,Dr. Revisor 1,True
PRED_0001,0,0,2025-11-29 18:18:28.589541,Dr. Revisor 2,True
PRED_0002,0,0,2025-11-29 18:18:28.589554,Dr. Revisor 3,True
PRED_0003,0,1,2025-11-29 18:18:28.589565,Dr. Revisor 4,False
PRED_0004,0,1,2025-11-29 18:18:28.589573,Dr. Revisor 5,False
PRED_0005,1,1,2025-11-29 18:18:28.589582,Dr. Revisor 1,True
PRED_0006,0,1,2025-11-29 18:18:28.589590,Dr. Revisor 2,False
PRED_0007,1,1,2025-11-29 18:18:28.589598,Dr. Revisor 3,True
PRED_0008,1,1,2025-11-29 18:18:28.589605,Dr. Revisor 4,True
PRED_0009,0,0,2025-11-29 18:18:28.589613,Dr. Revisor 5,True
PRED_0010,0,1,2025-11-29 18:18:28.589620,Dr. Revisor 1,False
PRED_0011,1,1,2025-11-29 18:18:28.589628,Dr. Revisor 2,True
PRED_0012,1,1,2025-11-29 18:18:28.589635,Dr. Revisor 3,True
PRED_0013,0,0,2025-11-29 18:18:28.589642,Dr. Revisor 4,True
PRED_0014,0,0,2025-11-29 18:18:28.589650,Dr. Revisor 5,True
PRED_0015,0,0,2025-11-29 18:18:28.589657,Dr. Revisor 1,True
PRED_0016,0,0,2025-11-29 18:18:28.589664,Dr. Revisor 2,True
PRED_0017,1,1,2025-11-29 18:18:28.589671,Dr. Revisor 3,True
PRED_0018,1,0,2025-11-29 18:18:28.589678,Dr. Revisor 4,False
PRED_0019,1,1,2025-11-29 18:18:28.589685,Dr. Revisor 5,True
